gkz,Männer,Frauen,diff,class,text
31806,36710.29,33262.28,3448.010000000002,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.448,01 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31807,35993.27,26845.87,9147.399999999998,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 9.147,40 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31808,37085.67,31720.03,5365.639999999999,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.365,64 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31809,35415.18,29942.21,5472.970000000001,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.472,97 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31810,32869.51,29133.89,3735.6200000000026,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.735,62 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31811,35172.35,31418.48,3753.869999999999,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.753,87 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31812,34123.25,29295.83,4827.419999999998,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.827,42 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31813,35555.64,29648.62,5907.02,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.907,02 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31814,34644.32,30444.08,4200.239999999998,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.200,24 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31815,35236.93,31244.39,3992.540000000001,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.992,54 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31817,37715.37,32202.35,5513.020000000004,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.513,02 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31818,32653.41,29192.24,3461.1699999999983,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.461,17 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31820,32986.02,29293.61,3692.409999999996,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.692,41 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31821,33950.21,31559.2,2391.0099999999984,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.391,01 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31823,37096.97,31566.32,5530.6500000000015,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.530,65 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
